"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2015";"Réalisation.2016";"Prévision.2017.PAP.2017";"Prévision.2017.PAP.2018";"Réalisation.2017";"Année.cible";"Valeur.cible";"Degré.de.réalisation";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.3.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17894";"2. Ratio Entretien courant / SUB";"";"";"SSI Documenté";"€/m2";"7,73";"9,85";"5,9";"7,3";"10,14";"2017";"5,39";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.3.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17896";"3. Ratio Entretien lourd / SUB";"";"";"SSI Documenté";"€/m2";"1,75";"7,8";"9,29";"13,82";"9,61";"2017";"9,6";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.3.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"24305";"Projets SIC : Taux d'écart budgétaire agrégé";"";"";"SSI Documenté";"%";"NC";"12,7";"12,7";"11,5";"42,5";"2017";"13,2";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.3.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"24306";"Projets SIC : Taux d'écart calendaire agrégé";"";"";"SSI Documenté";"%";"NC";"34,4";"34,4";"16,7";"113,7";"2017";"18,8";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.3.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"24307";"Projets immobiliers : Taux d'écart budgétaire agrégé";"";"";"SSI Documenté";"%";"NC";"13,8";"13,8";"5,3";"6,4";"2017";"11";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.3.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"24308";"Projets immobiliers : Taux d'écart calendaire agrégé";"";"";"SSI Documenté";"%";"NC";"5,7";"5,7";"21";"22";"2017";"0";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"13243";"P105.3.5";"Efficience de la fonction achat";"Contribuable";"";"X";"21048";"Gains relatifs aux actions d'achat";"";"";"SSI Documenté";"millions d'euros";"2,4";"1,6";"3";"3";"1,6";"2017";"2";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"13";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"";"21814";"1. Nombre d'élèves inscrits dans un cursus bilingue au sein d'un établissement Label FrancEducation";"";"";"SSI Documenté";"Nombre";"28617";"65000";"42500";"95773";"95743";"2017";"42500";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"13";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"";"6215";"2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"Nombre";"1083432";"1071933";"1104000";"1071933";"1070487*";"2017";"1109000";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"13";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"";"17878";"3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"h/élèves";"41414027";"40682518";"42250000";"41000000";"39999043*";"2017";"44200000";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"13";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"";"8045";"4. Nombre de candidats inscrits aux certifications et tests de langue française";"";"(libellé modifié)";"SSI Documenté";"Nombre";"556776";"574839";"590000";"590000";"547698";"2017";"589000";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"13";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"";"24592";"5. Nombre d'utilisateurs actifs sur l'application Immersion France";"(nouveau)";"";"SSI Documenté";"Nombre";"N/A";"8528";"8000";"9000";"7859";"2017";"10000";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14045";"P185.2.1";"Appui au commerce extérieur";"Citoyen";"";"";"23319";"1. Solde du commerce extérieur hors énergie";"";"";"SSI Documenté";"milliards d'euros";"-23,2";"-34,5";"-20";"-44,4";"-41,2";"2017";"-";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14045";"P185.2.1";"Appui au commerce extérieur";"Citoyen";"";"";"24178";"2. Nombre de contrats signés de plus de 10 millions d'euros pour l'obtention desquels l'implication du poste a été significative";"";"";"SSI Documenté";"Nombre";"225";"178";"235";"182";"ND";"2017";"266";"Données non renseignées";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"";"24181";"1. Nombre de décisions d'investissement en France";"";"";"SSI Documenté";"Nombre";"962";"1117";"1500";"1151";"1298";"2017";"1500";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"";"15716";"2. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"";"";"SSI Documenté";"%";"48,1";"42,9";"48,5";"45";"45";"2017";"52";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"";"13150";"3. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"";"";"SSI Documenté";"Nombre";"130700";"130667";"135000";"135000";"ND";"2017";"135000";"Données non renseignées";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"";"23130";"4. Nombre de touristes étrangers en France";"";"";"SSI Documenté";"Nombre";"84,5";"82,5";"87,9";"88";"88,5";"2017";"90,2";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"P185.2";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"";"23131";"5. Montant des recettes touristiques liées aux séjours des touristes étrangers en France";"";"";"SSI Documenté";"Milliards d'euros";"41,4";"41";"N.D **";"43";"54";"2017";"39,5";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"";"13151";"1. Montant des cofinancements levés";"";"";"SSI Documenté";"M€";"191";"161";"191";"154";"165";"2017";"205,7";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"";"3226";"2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger";"";"";"SSI Documenté";"%";"62,5";"64,1";"63";"61,6";"65,3";"2017";"61,6";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"";"5178";"3. Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires hors personnel MAEDI";"";"";"SSI Documenté";"%";"67";"69";"67";"67";"72";"2017";"69";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"";"2706";"4. Part du partenariat dans le budget d'Atout France";"";"";"SSI Documenté";"%";"48,5";"52";"50";"57,86";"61";"2017";"50";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"";"3211";"1. Passeports (réseau)";"";"";"SSI Documenté";"Jour";"11,5";"11,5";"10";"11";"11,7";"2017";"10";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"";"3212";"2. Cartes nationales d'identité (réseau)";"";"";"SSI Documenté";"Jour";"42";"42";"42";"42";"36";"2017";"42**";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"";"3213";"3. État Civil - transcription des actes (réseau)";"";"";"SSI Documenté";"Jour";"24,5";"28,7";"20";"25";"26";"2017";"20**";"Amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"";"13389";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"";"";"SSI Documenté";"Jour";"4";"3,4";"1,5";"3,5";"5,2";"2017";"1,5**";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"";"13390";"5. Visas court séjour";"";"";"SSI Documenté";"Jour";"3,8";"4,2";"2,5";"2,9";"4,3";"2017";"2,5**";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13295";"1. Administration des Français (réseau)*";"";"";"SSI Documenté";"Nombre";"167";"173";"170";"170";"179";"2017";"170**";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13297";"2. Actes d'état civil : établissement et transcription (SCEC)";"";"";"SSI Documenté";"Nombre";"100";"93";"95";"95";"90";"2017";"95**";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13298";"3. Actes d'état civil : exploitation (SCEC)";"";"";"SSI Documenté";"Nombre";"1253";"1369";"1200";"1400";"1422";"2017";"1200**";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13299";"4. Visas (réseau)*";"";"";"SSI Documenté";"Nombre";"401";"394";"370";"370";"397";"2017";"370**";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"MAB.1 (P307.1)";"Améliorer la prévention des risques";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"7838";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"";"";"SSI Documenté";"%";"81,2";"79,24";"85";"85";"80,4";"2017";"90";"Amélioration";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"MAB.1 (P307.1)";"Améliorer la prévention des risques";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"19715";"Taux de préfectures ayant réalisé au moins 4 exercices dans l'année";"";"";"SSI Documenté";"%";"72,5";"79,41";"80";"80";"84,31";"2017";"80";"Cible atteinte";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"45";"MAB.2 (P307.2)";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"11297";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"";"20671";"Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours";"";"";"SSI Documenté";"%";"75,8";"75,8";"90";"80";"69,6";"2017";"90";"Absence d'amélioration";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"45";"MAB.2 (P307.2)";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"11297";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"";"23181";"Pourcentage de permis de conduire délivrés dans un délai de 19 jours";"";"(libellé modifié)";"SSI Documenté";"%";"99,2";"97,7";"95";"85";"88,3";"2017";"90";"Cible atteinte";"";""
"Budget général";"Administration générale et territoriale de l'État";"P216";"Conduite et pilotage des politiques de l'intérieur";"554";"MAB.3 (P216.1)";"Optimiser la fonction juridique du ministère";"14037";"P216.1.1";"Taux de réussite de l'Etat (SGAMI et préfectures) devant les juridictions administratives et judiciaires";"Citoyen";"Stratégique mission";"";"23394";"Taux de réussite pour le contentieux des étrangers devant les juridictions administratives et judiciaires";"";"";"SSI Documenté";"%";"81";"80";"81";"81";"78,11";"2017";"81";"Absence d'amélioration";"";""
"Budget général";"Administration générale et territoriale de l'État";"P216";"Conduite et pilotage des politiques de l'intérieur";"554";"MAB.3 (P216.1)";"Optimiser la fonction juridique du ministère";"14037";"P216.1.1";"Taux de réussite de l'Etat (SGAMI et préfectures) devant les juridictions administratives et judiciaires";"Citoyen";"Stratégique mission";"";"23964";"Taux de réussite pour les autres contentieux devant les juridictions administratives et judiciaires";"";"";"SSI Documenté";"%";"80";"78";"80";"79";"79";"2017";"79";"Cible atteinte";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention des risques";"12584";"P307.1.1";"Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale";"Citoyen";"";"";"19714";"Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale";"";"";"SSI Documenté";"%";"71,8";"76";"77";"SO";"79";"2017";"70";"Cible atteinte";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention des risques";"41";"P307.1.2";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"Citoyen";"";"";"6608";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"";"";"SSI Documenté";"%";"93,5";"90,6";"96";"96";"86,6";"2017";"100";"Absence d'amélioration";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention des risques";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"";"";"7838";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"";"";"SSI Documenté";"%";"81,2";"79,24";"85";"85";"80,4";"2017";"90";"Amélioration";"MIN09";"Intérieur"
