"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2012";"Réalisation.2013";"Prévision.2014.PAP.2014";"Prévision.2014.PAP.2015";"Réalisation.2014";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"12993";"1. Ratio d'efficience de la gestion des ressources humaines";"";"";"SSI Documenté";"%";"2,28";"2,28";"2,29";"2,28";"2.28";"2015";"NC";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"17876";"#NOM?";"";"";"SSI Documenté";"Effectifs physiques";"15770";"15540";"15377";"15344";"15312";"2015";"15137";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"13275";"2. Ratio d'efficience bureautique";"";"";"SSI Documenté";"€/poste";"1182*";"1224*";"1150";"1235*";"1274";"2015";"1100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"17877";"#NOM?";"";"";"SSI Documenté";"Nombre de postes";"15500";"15466*";"15700";"15385*";"15547";"2015";"15200";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17891";"1. Ratio SUB / SHON";"";"";"SSI Documenté";"%";"83";"83";"83";"S.O.*";"83";"2015";"83";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17892";"2. Effectif ETPT";"";"";"SSI Documenté";"Nombre";"14549";"14306";"14508";"14180";"14108";"2015";"14482";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17893";"3. Ratio SUN / Poste de Travail";"";"";"SSI Documenté";"m²/poste";"15,65**";"15,2***";"15";"14,3";"15.1";"2015";"13,6";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17894";"4. Ratio Entretien courant / SUB";"";"";"SSI Documenté";"€/m2";"5,64";"5,36";"2,74";"2,74";"7.24";"2015";"2,75";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17896";"5. Ratio Entretien lourd / SUB";"";"";"SSI Documenté";"€/m2";"2,98";"1,4";"1,12";"1,12";"1,61";"2015";"1,07";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17897";"6. Coût des travaux structurants";"";"";"SSI Documenté";"€";"sans objet****";"sans objet****";"sans objet";"sans objet****";"sans objet****";"2015";"sans objet";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"17898";"1. Nombre de projets";"";"";"SSI Documenté";"Nombre";"8";"13";"13";"14";"17";"2015";"10";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"17899";"2. Proportion des projets en dépassement";"";"";"SSI Documenté";"%";"75";"38";"38,46";"42,9";"41";"2015";"50";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"17901";"3. Dépassement de coûts cumulés";"";"";"SSI Documenté";"M€";"7.8";"2,8";"8";"10,4";"13.9";"2015";"8";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"X";"17900";"4. Proportion des projets en retard";"";"";"SSI Documenté";"%";"50";"30,7";"23,07";"28,6";"35";"2015";"20";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"13243";"P105.4.5";"Efficience de la fonction achat";"Contribuable";"";"X";"21048";"Gains relatifs aux actions d'achat";"";"";"SSI Documenté";"millions d'euros";"-";"2,6";">2";"3,05";"2.9";"2015";">2";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11371";"P185.1.1";"Fréquentation et efficience du site dédié à la base de connaissances produite par les services scientifiques";"Usager";"";"";"8373";"1. Nombre de visiteurs du site dédié à la base de connaissances produite par les services scientifiques";"";"";"SSI Documenté";"Nombre";"10339956";"10831779";"10800000";"S.O";"11601819";"2015";"11000000*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"21814";"1. Nombre d'établissements Label FrancÉducation";"(nouveau)";"";"SSI Documenté";"Nombre";"25";"32";"40";"40";"56";"2015";"50";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"6215";"2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"Nombre";"1079420";"1082689";"1092000";"1092000";"1091204";"2015";"1098000*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"17878";"3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"h/élèves";"45037323";"43029730";"45680000";"43450000";"42511902";"2015";"45910000*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"8045";"4. Nombre de candidats aux certifications et tests de langue française";"";"";"SSI Documenté";"Nombre";"452551";"490161";"490000";"539000";"489899 *";"2015";"505000*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Stratégique mission";"";"15716";"1. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"";"";"SSI Documenté";"%";"49,4";"48";"50,5";"50";"48,1";"2015";"51";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Stratégique mission";"";"13150";"2. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"";"";"SSI Documenté";"Nombre";"127468";"128972 *";"134000";"132000";"132000 **";"2015";"136000*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"13151";"1. Montant des cofinancements levés";"";"";"SSI Documenté";"M€";"186,8";"205,7";"165";"180";"194";"2015";"170*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"3226";"2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger";"";"";"SSI Documenté";"%";"58,2";"59,8";"58,5";"59,8";"59,6";"2015";"59,4";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"5178";"3. Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires hors personnel MAE";"";"";"SSI Documenté";"%";"68";"66,4";"69";"67";"67";"2015";"69,5";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"13154";"1. Institut Français";"";"";"SSI Documenté";"%";"81";"81";"95";"S.O";"100";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"15011";"2. AEFE";"";"";"SSI Documenté";"%";"95";"91";"99";"S.O";"N.D.";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"19788";"3. Campus France";"";"";"SSI Documenté";"%";"s.o.";"89*";"95";"S.O";"82";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"8151";"1. Coût moyen par élève pour l'État avec bourses";"";"";"SSI Documenté";"€";"2719";"2644";"2595";"S.O";"2557";"2015";"2595";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"17879";"2. Coût moyen par élève pour l'Etat hors bourses";"";"";"SSI Documenté";"€";"2240";"2231";"2130";"S.O";"2146";"2015";"2122";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3211";"1. Passeports (réseau)";"";"";"SSI Documenté";"Jour";"12";"11,8";"<11";"12-nov";"11,5";"2015";"10";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3212";"2. Cartes nationales d'identité (réseau)";"";"";"SSI Documenté";"Jour";"44";"45";"42-47";"42-47";"42";"2015";"40-45";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3213";"3. État Civil - transcription des actes (réseau)";"";"";"SSI Documenté";"Jour";"21";"21";"20";"21";"27";"2015";"19-20";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13389";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"";"";"SSI Documenté";"Jour";"2";"2";"02-mars";"03-févr";"3,5";"2015";"02-janv";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13390";"5. Visas court séjour";"";"";"SSI Documenté";"Jour";"3,3";"3,5";"3";"3";"3";"2015";"03-févr";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3215";"1. Instruction d'un passeport (réseau*)";"";"";"SSI Documenté";"€";"36,9";"38";"35";"SO";"36";"2015";"35";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3216";"2. Cartes nationales d'identité";"";"";"SSI Documenté";"€";"47,5";"48,9";"45";"SO";"47";"2015";"40-45";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13391";"3. Coût du support CTDS par CNIS (carte nationale d'identité sécurisée)";"";"";"SSI Documenté";"€";"4,4";"4,5";"5";"SO";"5";"2015";"5";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13392";"4. Actes d'état civil : établissement et transcription (SCEC)";"";"(libellé modifié)";"SSI Documenté";"€";"53,4 **";"";"50";"SO";"56";"2015";"50";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"6239";"5. Actes d'état civil : exploitation (SCEC)";"";"";"SSI Documenté";"€";"4";"4";"03-avr";"SO";"4";"2015";"04-mars";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3218";"6. Visas";"";"";"SSI Documenté";"€";"16,3";"18,7";"16-17";"SO";"17";"2015";"16-17";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13295";"1. Administration des Français (réseau)*";"";"";"SSI Documenté";"Nombre";"156";"161";"155";"160";"168";"2015";"155";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13297";"2. Actes d'état civil : établissement et transcription (SCEC)";"";"(libellé modifié)";"SSI Documenté";"Nombre";"92,6 **";"60";"95-100";"60-90";"93";"2015";"110";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13298";"3. Actes d'état civil : exploitation (SCEC)";"";"";"SSI Documenté";"Nombre";"1095";"1128";"1100-1200";"1100-1200";"1191";"2015";"1100-1200";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13299";"4. Visas (réseau)*";"";"";"SSI Documenté";"Nombre";"342";"332";"310-350";"330-350";"346";"2015";"310-350";"MIN01";"Affaires étrangères"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12584";"P307.1.1";"Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale";"Citoyen";"";"";"19714";"Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale";"";"";"SSI Documenté";"%";"51,6";"60";"62";"63";"64,7";"2015";"65";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"41";"P307.1.2";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"Citoyen";"";"";"6608";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"";"";"SSI Documenté";"%";"92,3";"95";"96";"96";"92,2";"2015";"98";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"7838";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"";"";"SSI Documenté";"%";"67,2";"77";"90";"80";"78,9";"2015";"93";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"19715";"Taux de préfectures ayant activé leur centre opérationnel départemental au moins 12 jours dans l'année";"";"";"SSI Documenté";"%";"59";"70";"70";"SO";"54,9";"2015";"85";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"45";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficience des services de délivrance de titres";"12977";"P307.2.1";"Taux de dossiers de fraude documentaire détectés par les préfectures";"Usager";"";"";"20672";"Taux de dossiers de fraude documentaire détectés par les préfectures";"";"";"SSI Documenté";"0/00";"SO";"0,37";"0,47";"0,47";"0,5";"2015";"0,5";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"45";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficience des services de délivrance de titres";"11297";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"";"13010";"Délai de délivrance des cartes grises par l'ANTS";"";"";"SSI Documenté";"jours";"3";"2,9";"3";"SO";"3";"2015";"3";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"45";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficience des services de délivrance de titres";"11297";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"";"20671";"Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours";"";"";"SSI Documenté";"%";"82";"75,1";"90";"80";"75,1";"2015";"90";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"46";"P307.3";"Moderniser et rationaliser le contrôle de légalité";"46";"P307.3.1";"Taux de contrôle des actes prioritaires reçus en préfecture";"Citoyen";"";"";"8138";"Taux de contrôle des actes prioritaires reçus en préfecture";"";"";"SSI Documenté";"%";"91,7";"93";"100";"95";"89,6";"2015";"100";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"46";"P307.3";"Moderniser et rationaliser le contrôle de légalité";"2700";"P307.3.2";"Taux d'actes télétransmis par l'application ACTES";"Citoyen";"";"";"8159";"Taux d'actes télétransmis par l'application ACTES";"";"";"SSI Documenté";"%";"27,8";"33,7";"32";"35";"40";"2015";"36";"MIN09";"Intérieur"
