"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Indicateur.de.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2010";"Réalisation.2011";"Prévision.2012.PAP.2012";"Prévision.2012.PAP.2013";"Réalisation.2012";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11731";"P105.3.2";"Evaluation du poids politique de la France dans les organisations internationales";"Citoyen";"";"";"15713";"Taux de résolutions adoptées au conseil de sécurité de l'ONU à l'initiative de la France.";"";"";"SSI Documenté";"%";"19";"19";"17";"> ou = 17";"21";"2013";"17";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"11732";"P105.4.1";"Taux de mise en place effective du contrôle de gestion dans les postes";"Usager";"";"";"16759";"Taux de mise en place effective du contrôle de gestion dans les postes";"";"";"SSI Documenté";"%";"54";"87";"88";"NC";"100";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12247";"P105.4.2";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"Citoyen";"";"X";"17917";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"";"";"SSI Documenté";"%";"5,2";"4,68";"6";"5";"4,51";"2013";"6";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.3";"Efficience de la fonction support";"Contribuable";"";"X";"12993";"1. Ratio d'efficience de la gestion des ressources humaines";"";"";"SSI Documenté";"%";"2,22";"2,26";"2,27";"2,28";"2,28";"2013";"NC";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.3";"Efficience de la fonction support";"Contribuable";"";"X";"17876";"#NOM?";"";"";"SSI Documenté";"Effectifs physiques";"15564";"14887";"15024";"15025";"15770";"2013";"14900";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.3";"Efficience de la fonction support";"Contribuable";"";"X";"13275";"2. Ratio d'efficience bureautique";"";"";"SSI Documenté";"€/poste";"1090";"1050";"1084";"1212";"1063";"2013";"1090";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.3";"Efficience de la fonction support";"Contribuable";"";"X";"17877";"#NOM?";"";"";"SSI Documenté";"Nombre de postes";"16000";"15500";"15700";"15500";"15500";"2013";"15550";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17891";"1. Ratio SUB / SHON";"";"";"SSI Documenté";"%";"83";"83";"83";"83";"83";"2013";"83";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17892";"2. Effectif ETPT";"";"";"SSI Documenté";"Nombre";"15008";"15024";"15024";"15025";"14549";"2013";"15017";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17893";"3. Ratio SUN / Poste de Travail";"";"";"SSI Documenté";"m²/poste";"-";"-";"15,48";"16,6";"15,65";"2013";"-";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17894";"4. Ratio Entretien courant / SUB";"";"";"SSI Documenté";"€/m2";"6,9";"3,25";"5";"4,71";"5,64";"2013";"4,7";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17896";"5. Ratio Entretien lourd / SUB";"";"";"SSI Documenté";"€/m2";"1,4";"7,96";"1,5";"3,34";"2,98";"2013";"NC";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.4";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17897";"6. Coût des travaux structurants";"";"";"SSI Documenté";"€";"sans objet";"sans objet";"sans objet";"sans objet";"SO";"2013";"sans objet";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.5";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17898";"1. Nombre de projets";"";"";"SSI Documenté";"Nombre";"4";"6";"8";"8";"8";"2013";"3";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.5";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17899";"2. Proportion des projets en dépassement";"";"";"SSI Documenté";"%";"20";"33";"12,5";"25";"75";"2013";"0";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.5";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17901";"3. Dépassement de coûts cumulés";"";"";"SSI Documenté";"M€";"1,5";"1,4";"1,675";"1,275";"7.8";"2013";"0";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.5";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17900";"4. Proportion des projets en retard";"";"";"SSI Documenté";"%";"20";"50";"37,5";"21,4";"50";"2013";"0";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11371";"P185.1.1";"Fréquentation et efficience du site dédié à la base de connaissances produite par les services scientifiques";"Usager";"";"";"15715";"1. Coût moyen d'une visite sur le site dédié à la base de connaissances produite par les services scientifiques";"";"(libellé modifié)";"SSI Documenté";"Euro";"0,018";"0,01";"0,018";"0,0092";"0,0061";"2013";"0,018";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11371";"P185.1.1";"Fréquentation et efficience du site dédié à la base de connaissances produite par les services scientifiques";"Usager";"";"";"8373";"2. Nombre de visiteurs du site dédié à la base de connaissances produite par les services scientifiques";"";"(libellé modifié)";"SSI Documenté";"Nombre";"7382661";"7533507";"7875000";"7875000";"10339956";"2013";"8200000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"3274";"1. Nombre d'élèves inscrits dans les sections scolaires bilingues";"";"";"SSI Documenté";"Nombre";"1694085";"1649738";"1710000";"1670000";"1692777";"2013";"1725000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"6215";"2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"Nombre";"908508";"1029963*";"920000";"980000";"1075680**";"2013";"877000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"17878";"3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"h/élèves";"43781349";"44224546*";"48000000";"45000000";"45001700**";"2013";"57000000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"8045";"4. Nombre de candidats aux certifications et tests de langue française";"";"";"SSI Documenté";"Nombre";"374044*";"403531*";"360000";"360000";"502408**";"2013";"370000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Indicateur de mission";"";"15716";"1. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"";"";"SSI Documenté";"%";"49";"48,9*";"50";"50";"49,4";"2013";"51";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Indicateur de mission";"";"13150";"2. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"";"";"SSI Documenté";"Nombre";"131398";"129671*";"140000";"136700";"130000**";"2013";"145200";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"13151";"1. Montant des cofinancements levés";"";"";"SSI Documenté";"Millions €";"127,8";"174,6";"145";"145";"186,8";"2013";"150";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"3226";"2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger";"";"";"SSI Documenté";"%";"55,1";"55,6";"56";"56,6";"58,2";"2013";"59";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"5178";"3. Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires";"";"";"SSI Documenté";"%";"50,55";"51,1";"49";"49";"49,8*";"2013";"50";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"13154";"1. Institut Français";"";"";"SSI Documenté";"%";"88";"92";"100";"94";"81";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"15011";"2. AEFE";"";"";"SSI Documenté";"%";"85";"92";"100";"100";"95";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"19788";"3. Campus France";"(nouveau)";"";"SSI Documenté";"%";"nd";"nd";"100";"90";"nd";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"19789";"4. France Expertise Internationale";"(nouveau)";"";"SSI Documenté";"%";"nd";"nd";"100";"90";"84";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"8151";"1. Coût moyen par élève pour l'État avec bourses et PEC (Prise en Charge)";"";"";"SSI Documenté";"€";"2836";"2750";"2700";"2700";"2719";"2013";"2610";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"17879";"2. Coût moyen par élève pour l'Etat hors bourses et PEC (Prise en Charge)";"";"";"SSI Documenté";"€";"2370";"2293";"2250";"2230";"2240";"2013";"2185";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Indicateur de mission";"";"3211";"1. Passeports (réseau)";"";"";"SSI Documenté";"Jour";"11,3";"10,7";"<12";"11";"12";"2013";"11";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Indicateur de mission";"";"3212";"2. Cartes nationales d'identité (réseau)";"";"";"SSI Documenté";"Jour";"49";"60";"<50";"55";"44";"2013";"45";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Indicateur de mission";"";"3213";"3. État Civil - transcription des actes (réseau)";"";"";"SSI Documenté";"Jour";"23";"21";"22";"21";"21";"2013";"20";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Indicateur de mission";"";"13389";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"";"";"SSI Documenté";"Jour";"2,2";"1,6";"03-avr";"03-févr";"2";"2013";"3";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Indicateur de mission";"";"13390";"5. Visas court séjour";"";"";"SSI Documenté";"Jour";"2,7";"3,8";"03-avr";"04-mars";"3,3";"2013";"3";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3215";"1. Instruction d'un passeport (réseau*)";"";"";"SSI Documenté";"€";"35";"35";"35-40";"35-40";"36,9";"2013";"35";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3216";"2. Cartes nationales d'identité";"";"";"SSI Documenté";"€";"46";"46";"45-50";"45-50";"47,5";"2013";"45";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13391";"3. Coût du support CTDS par CNIS (carte nationale d'identité sécurisée)";"";"";"SSI Documenté";"€";"5";"5";"05-juin";"06-mai";"4,4";"2013";"5";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13392";"4. Actes d'état civil - établissement consécutif à l'obtention de la nationalité française (SCEC)";"";"";"SSI Documenté";"€";"43";"49";"45";"45";"60";"2013";"45";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"6239";"5. Actes d'état civil - exploitation (SCEC)";"";"";"SSI Documenté";"€";"3,7";"4";"4";"4";"4";"2013";"4";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3218";"6. Visas";"";"";"SSI Documenté";"€";"17";"16";"17-19";"16-19";"16,3";"2013";"19-20";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13295";"1. Administration des Français (réseau)*";"";"";"SSI Documenté";"Nombre";"148";"155";"150";"155";"156";"2013";"150";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13297";"2. Actes d'état civil - établissement (SCEC)";"";"";"SSI Documenté";"Nombre";"113";"98";"110";"100-110";"84";"2013";"120";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13298";"3. Actes d'état civil - exploitation (SCEC)";"";"";"SSI Documenté";"Nombre";"1190";"1111";"1100";"1100-1200";"1095";"2013";"1100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13299";"4. Visas (réseau)*";"";"";"SSI Documenté";"Nombre";"310";"350";"300-310";"310-350";"342";"2013";"300";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P332";"Présidence française du G20 et du G8";NA;"";"";NA;"";"";"";"";"";NA;"";"";"";"";"";"";"";"";"";"";"";"";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12584";"P307.1.1";"Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale";"Citoyen";"";"";"19714";"Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale";"(nouveau)";"";"SSI Documenté";"%";"ND";"44";"45";"50";"51,6";"2013";"60";"MIN09";"Intérieur, outre-mer, collectivités territoriales et immigration"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"41";"P307.1.2";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"Citoyen";"";"";"6608";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"";"";"SSI Documenté";"%";"91,5*";"95,9";"96";"95";"92,3";"2013";"98";"MIN09";"Intérieur, outre-mer, collectivités territoriales et immigration"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Indicateur de mission";"";"7838";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"";"";"SSI Documenté";"%";"83,5";"84,2";"90";"90";"67,2";"2013";"90";"MIN09";"Intérieur, outre-mer, collectivités territoriales et immigration"
