"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2011";"Réalisation.2012";"Prévision.2013.PAP.2013";"Prévision.2013.PAP.2014";"Réalisation.2013";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11731";"P105.3.2";"Evaluation du poids politique de la France dans les organisations internationales";"Citoyen";"";"";"15713";"Taux de résolutions adoptées au conseil de sécurité de l'ONU à l'initiative de la France.";"";"";"SSI Documenté";"%";"19";"21";"> ou = 17";"> ou = 17";"23";"2015";"> ou = 17";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"13203";"P105.3.3";"Assurer la paix et la sécurité dans le monde";"Citoyen";"";"";"21046";"Evolution des mandats des opérations de maintien de la paix (OMP)";"(nouveau)";"";"SSI Documenté";"%";"-";"14";"23";"23";"20";"2015";"46";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12247";"P105.4.1";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"Citoyen";"";"X";"17917";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"";"";"SSI Documenté";"%";"4,68";"4,51";"5,5";"4,6";"4,61";"2015";"6";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"12993";"1. Ratio d'efficience de la gestion des ressources humaines";"";"";"SSI Documenté";"%";"2,26";"2,28";"2,27";"2,28";"2,28";"2015";"NC";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"17876";"#NOM?";"";"";"SSI Documenté";"Effectifs physiques";"14887";"15770";"14880";"15593";"15540";"2015";"14482";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"13275";"2. Ratio d'efficience bureautique";"";"";"SSI Documenté";"€/poste";"1050";"1063";"1221";"1067";"1231";"2015";"1244";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"X";"17877";"#NOM?";"";"";"SSI Documenté";"Nombre de postes";"15500";"15500";"15550";"15629";"14024";"2015";"15800";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17891";"1. Ratio SUB / SHON";"";"";"SSI Documenté";"%";"83";"83";"83";"83";"83";"2015";"83";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17892";"2. Effectif ETPT";"";"";"SSI Documenté";"Nombre";"15024";"14549";"14880";"14798";"14275";"2015";"14482";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17893";"3. Ratio SUN / Poste de Travail";"";"";"SSI Documenté";"m²/poste";"-";"15,65";"15,6";"16,6";"16,4";"2015";"13,6";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17894";"4. Ratio Entretien courant / SUB";"";"";"SSI Documenté";"€/m2";"3,25";"5,64";"4,59";"2,78";"5,36";"2015";"4,57";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17896";"5. Ratio Entretien lourd / SUB";"";"";"SSI Documenté";"€/m2";"7,96";"2,98";"1,17";"1,17";"1,4";"2015";"1,07";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17897";"6. Coût des travaux structurants";"";"";"SSI Documenté";"€";"sans objet";"sans objet";"sans objet";"sans objet";"sans objet";"2015";"sans objet";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17898";"1. Nombre de projets";"";"";"SSI Documenté";"Nombre";"6";"8";"14";"14";"13";"2015";"7";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17899";"2. Proportion des projets en dépassement";"";"";"SSI Documenté";"%";"33";"75";"14,28";"35,71";"38";"2015";"0";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17901";"3. Dépassement de coûts cumulés";"";"";"SSI Documenté";"M€";"1,4";"7.8";"4,3";"8";"2,8";"2015";"0";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12268";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"";"17900";"4. Proportion des projets en retard";"";"";"SSI Documenté";"%";"50";"50";"14,28";"21,42";"30,7";"2015";"0";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"13243";"P105.4.5";"Efficience de la fonction achat";"Contribuable";"";"X";"21048";"Gains relatifs aux actions d'achat";"(nouveau)";"";"SSI Documenté";"millions d'euros";"-";"-";"2";"2,8";"2,6";"2015";"2";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11371";"P185.1.1";"Fréquentation et efficience du site dédié à la base de connaissances produite par les services scientifiques";"Usager";"";"";"15715";"1. Coût moyen d'une visite sur le site dédié à la base de connaissances produite par les services scientifiques";"";"";"SSI Documenté";"Euro";"0,01";"0,0061";"0,0092";"*";"0,0058";"2015";"0,0088";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11371";"P185.1.1";"Fréquentation et efficience du site dédié à la base de connaissances produite par les services scientifiques";"Usager";"";"";"8373";"2. Nombre de visiteurs du site dédié à la base de connaissances produite par les services scientifiques";"";"";"SSI Documenté";"Nombre";"7533507";"10339956";"7875000";"10500000";"10831779";"2015";"8200000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"3274";"1. Nombre d'élèves inscrits dans les sections scolaires bilingues";"";"";"SSI Documenté";"Nombre";"1649738";"1692777";"1695000";"*";"1640879";"2015";"1720000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"6215";"2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"Nombre";"1029963";"1079420 **";"1000000";"1087000";"1082689";"2015";"1020000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"17878";"3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF)";"";"";"SSI Documenté";"h/élèves";"44224546";"45037323 **";"46000000";"45450000";"43029730";"2015";"46900000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"13";"P185.1.2";"Nombre d'inscrits dans les cursus francophones";"Citoyen";"";"";"8045";"4. Nombre de candidats aux certifications et tests de langue française";"";"";"SSI Documenté";"Nombre";"403531";"452551";"370000";"475000";"490161";"2015";"385000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Stratégique mission";"";"15716";"1. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"";"";"SSI Documenté";"%";"48,9";"49,4";"50";"50";"48";"2015";"51";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"13";"P185.1";"Renforcer l'influence de la France en Europe et dans le monde";"11733";"P185.1.3";"Augmentation de l'attractivité de la France en direction des élites étrangères";"Citoyen";"Stratégique mission";"";"13150";"2. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"";"";"SSI Documenté";"Nombre";"129671";"127468";"139440";"132000";"132000*";"2015";"143000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"13151";"1. Montant des cofinancements levés";"";"";"SSI Documenté";"Millions €";"174,6";"186,8";"150";"160";"205,7";"2015";"155";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"3226";"2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger";"";"";"SSI Documenté";"%";"55,6";"58,2";"57,6";"57,6";"59,8";"2015";"59,4";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11369";"P185.2.1";"Dynamisation des ressources externes";"Contribuable";"";"";"5178";"3. Taux d'autofinancement des établissements culturels";"";"";"SSI Documenté";"%";"67";"68";"50";"68,5";"66,4";"2015";"50,5";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"13154";"1. Institut Français";"";"";"SSI Documenté";"%";"92";"81";"100";"92";"81";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"15011";"2. AEFE";"";"";"SSI Documenté";"%";"92";"95";"100";"97";"91";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"19788";"3. Campus France";"";"";"SSI Documenté";"%";"s.o.";"s.o.";"100";"80";"nd";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"11370";"P185.2.2";"Evaluation de la performance des opérateurs par rapport aux engagements des contrats d'objectifs et de moyens (COM) ou des contrats d'objectifs et de performance (COP)";"Contribuable";"";"";"19789";"4. France Expertise Internationale";"";"";"SSI Documenté";"%";"N.A";"80";"100";"90";"91";"2015";"95";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"8151";"1. Coût moyen par élève pour l'État avec bourses et PEC (Prise en Charge)";"";"";"SSI Documenté";"€";"2750";"2719";"2615";"2620";"2644";"2015";"2560";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"20";"P185.2";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"2308";"P185.2.3";"Coût moyen par élève pour l'État (AEFE)";"Contribuable";"";"";"17879";"2. Coût moyen par élève pour l'Etat hors bourses et PEC (Prise en Charge)";"";"";"SSI Documenté";"€";"2293";"2240";"2210";"2207";"2231";"2015";"2150";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3211";"1. Passeports (réseau)";"";"";"SSI Documenté";"Jour";"10,7";"12";"11";"11";"11,8";"2015";"10";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3212";"2. Cartes nationales d'identité (réseau)";"";"";"SSI Documenté";"Jour";"60";"44";"55";"44-48";"45";"2015";"40-45";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3213";"3. État Civil - transcription des actes (réseau)";"";"";"SSI Documenté";"Jour";"21";"21";"20";"20";"21";"2015";"19-20";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13389";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"";"";"SSI Documenté";"Jour";"1,6";"2";"02-mars";"03-févr";"2";"2015";"02-janv";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13390";"5. Visas court séjour";"";"";"SSI Documenté";"Jour";"3,8";"3,3";"3";"3";"3,5";"2015";"03-févr";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3215";"1. Instruction d'un passeport (réseau*)";"";"";"SSI Documenté";"€";"35";"36,9";"35";"35";"38";"2015";"35";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3216";"2. Cartes nationales d'identité";"";"";"SSI Documenté";"€";"46";"47,5";"45";"45";"48,9";"2015";"40-45";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13391";"3. Coût du support CTDS par CNIS (carte nationale d'identité sécurisée)";"";"";"SSI Documenté";"€";"5";"4,4";"5";"5";"4,5";"2015";"s.o.*";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"13392";"4. Actes d'état civil - établissement consécutif à l'obtention de la nationalité française (SCEC)";"";"";"SSI Documenté";"€";"49";"60";"45";"";"64";"2015";"40-45";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"6239";"5. Actes d'état civil - exploitation (SCEC)";"";"";"SSI Documenté";"€";"4";"4";"4";"4";"4";"2015";"04-mars";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"2485";"P151.1.2";"Coût par type de document";"Contribuable";"";"";"3218";"6. Visas";"";"";"SSI Documenté";"€";"16";"16,3";"16-19";"16-17";"18,7";"2015";"16-19";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13295";"1. Administration des Français (réseau)*";"";"";"SSI Documenté";"Nombre";"155";"156";"155";"155";"161";"2015";"155";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13297";"2. Actes d'état civil - établissement (SCEC)";"";"";"SSI Documenté";"Nombre";"98";"84";"100-110";"";"81";"2015";"120";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13298";"3. Actes d'état civil - exploitation (SCEC)";"";"";"SSI Documenté";"Nombre";"1111";"1095";"1100-1200";"1100-1200";"1128";"2015";"1100-1200";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"P151.1";"Assurer un service consulaire de qualité";"11497";"P151.1.3";"Nombre de documents délivrés par ETPT";"Contribuable";"";"";"13299";"4. Visas (réseau)*";"";"";"SSI Documenté";"Nombre";"350";"342";"310-350";"310-350";"332";"2015";"310-350";"MIN01";"Affaires étrangères"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12584";"P307.1.1";"Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale";"Citoyen";"";"";"19714";"Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale";"";"";"SSI Documenté";"%";"44";"51,6";"60";"60";"60";"2015";"65";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"41";"P307.1.2";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"Citoyen";"";"";"6608";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"";"";"SSI Documenté";"%";"95,9";"92,3";"98";"95";"95";"2015";"98";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"7838";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"";"";"SSI Documenté";"%";"84,2";"67,2";"90";"90";"77";"2015";"93";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"41";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"12585";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"";"19715";"Taux de préfectures ayant activé leur centre opérationnel départemental au moins 12 jours dans l'année";"";"";"SSI Documenté";"%";"34";"59";"70";"60";"70";"2015";"85";"MIN09";"Intérieur"
