"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Numéro.Objectif";"Objectif";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Sous.indicateur";"Unité";"Réalisation.2014";"Réalisation.2015";"Prévision.2016.PAP.2016";"Prévision.2016.PAP.2017";"Réalisation.2016";"Année.cible";"Valeur.cible";"Code.Ministère.LFI.2016";"Ministère.LFI.2016"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"2. Nombre de consultations du site ""Conseils aux voyageurs""";"Nombre";"8371722";"8169599";"7500000";"8150000";"7150000";"2017";"7750000";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.3";"Promouvoir le multilatéralisme";"P105.3.1";"Optimiser l'effort français en faveur du maintien de la paix";"Citoyen";"";"Evolution des mandats des opérations de maintien de la paix (OMP)";"%";"31";"27";"20";"20";"25";"2017";"25";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.1";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"Citoyen";"";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"%";"4,21";"4,33";"4.41";"4,27";"4,22";"2017";"6";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"1. Ratio d'efficience de la gestion des ressources humaines";"%";"2,28";"2,30";"2,28";"2,31";"2,28";"2017";"2,27";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"- Effectifs gérés";"Effectifs physiques";"15312";"13934";"13804";"13784";"13781";"2017";"13689";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"2. Ratio d'efficience bureautique";"€/poste";"1274";"1064";"1425";"1501";"1572";"2017";"1484";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.2";"Efficience de la fonction support";"Contribuable";"";"- Nombre de postes bureautiques";"Nombre de postes";"15547";"15440";"15553";"15370";"15350";"2017";"15157";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"3. Ratio SUN / Poste de Travail";"m²/poste";"15,1";"11,6";"14,7";"14,7";"14,7";"2017";"13,6";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"4. Ratio Entretien courant / SUB";"€/m2";"7,24";"7,73";"5,97";"5,9";"9,85";"2017";"5,39";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.3";"Efficience de la gestion immobilière";"Contribuable";"";"5. Ratio Entretien lourd / SUB";"€/m2";"1,61";"1,75";"8,63";"8,41";"7,8";"2017";"9,6";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"Projets SIC : Taux d'écart budgétaire agrégé";"%";"NC";"NC";"13,2";"10,1";"12,7";"2017";"13,2";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"Projets SIC : Taux d'écart calendaire agrégé";"%";"NC";"NC";"18,8";"27,5";"34,4";"2017";"18,8";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"Projets immobiliers : Taux d'écart budgétaire agrégé";"%";"NC";"NC";"1";"14,6";"13,8";"2017";"11";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.4";"Respect des coûts et délais des grands projets d'investissement";"Contribuable";"";"Projets immobiliers : Taux d'écart calendaire agrégé";"%";"NC";"NC";"-5";"5";"5,7";"2017";"0";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.4";"Assurer un service diplomatique efficient et de qualité";"P105.4.5";"Efficience de la fonction achat";"Contribuable";"";"Gains relatifs aux actions d'achat";"millions d'euros";"2,9";"2,4";"2";"2,5";"1,6";"2017";"2";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"1. Nombre d'élèves inscrits dans un cursus bilingue au sein d'un établissement Label FrancEducation";"Nombre";"19289";"28617";"37500";"28600";"65000";"2017";"42500";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF)";"Nombre";"1091204";"1083432";"1104000";"1095000";"1071933";"2017";"1109000";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF)";"h/élèves";"42511902";"41414027";"43250000";"41830000";"40682518";"2017";"44200000";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.1";"Renforcer l'influence culturelle de la France en Europe et dans le monde";"P185.1.1";"Diffusion de la langue française";"Citoyen";"";"4. Nombre de candidats aux certifications et tests de langue française";"Nombre";"513123";"556776";"525000";"575000";"572672";"2017";"589000";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.1";"Appui au commerce extérieur";"Citoyen";"";"1. Solde du commerce extérieur hors énergie";"milliards d'euros";"- 20,8";"- 23,2";"x";"-21";"-34,5";"2017";"-";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.1";"Appui au commerce extérieur";"Citoyen";"";"2. Nombre de contrats signés de plus de 10 millions d'euros pour l'obtention desquels l'implication du poste a été significative";"Nombre";"195";"225";"264";"230";"ND";"2017";"266";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"1. Nombre de décisions d'investissement en France";"Nombre";"1014";"962";"1400";"1400";"1117";"2017";"1500";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"2. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"%";"48,1";"48,1";"51,5";"48,2";"42,9";"2017";"52";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"3. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"Nombre";"128573";"130700";"133000";"133000";"ND";"2017";"135000";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"4. Nombre de touristes étrangers en France";"Nombre";"83,8";"84,5";"88";"86,2 **";"83";"2017";"90,2";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.2";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"";"5. Montant des recettes touristiques liées aux séjours des touristes étrangers en France";"Milliards d'euros";"43,8";"41,4";"44,9";"ND **";"ND";"2017";"39,5";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"1. Montant des cofinancements levés";"M€";"194";"191";"198";"191";"161";"2017";"205,7";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger";"%";"59,6";"62,5";"61";"62";"64,1";"2017";"61,6";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"3. Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires hors personnel MAEDI";"%";"67";"67*";"67";"67";"69";"2017";"69";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"P185.3";"Améliorer le pilotage et l'efficience dans la gestion des crédits";"P185.3.1";"Dynamisation des ressources externes";"Contribuable";"";"4. Part du partenariat dans le budget d'Atout France";"%";"51*";"52*";"50";"50";"52";"2017";"50";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"1. Passeports (réseau)";"Jour";"11,5";"11,5";"11";"11,5";"11,5";"2017";"10";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"2. Cartes nationales d'identité (réseau)";"Jour";"42";"42";"42";"42";"42";"2017";"42**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"3. État Civil - transcription des actes (réseau)";"Jour";"27";"24,5";"25";"25";"28,7";"2017";"20**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"Jour";"3,5";"4";"2";"3";"3,4";"2017";"1,5**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"";"5. Visas court séjour";"Jour";"3";"3,8";"2,5";"3";"4,2";"2017";"2,5**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"1. Administration des Français (réseau)*";"Nombre";"168";"167";"170";"170";"173";"2017";"170**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"2. Actes d'état civil : établissement et transcription (SCEC)";"Nombre";"93";"100";"95";"95";"93";"2017";"95**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"3. Actes d'état civil : exploitation (SCEC)";"Nombre";"1191";"1253";"1200";"1200";"1369";"2017";"1200**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"P151.1";"Assurer un service consulaire de qualité";"P151.1.2";"Nombre de documents délivrés par ETPT";"Contribuable";"";"4. Visas (réseau)*";"Nombre";"346";"401";"360";"360";"394";"2017";"370**";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P341";"Conférence 'Paris Climat 2015'";"";"";"";"";"";"";"";"";"";"";"";"";"";NA;"";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"MAB.1 (P307.1)";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"%";"78,9";"81,2";"87";"85";"79,24";"2017";"90";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"MAB.1 (P307.1)";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"Stratégique mission";"Taux de préfectures ayant réalisé au moins 4 exercices dans l'année";"%";"54,9*";"72,5";"80";"80";"79,41";"2017";"80";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"MAB.2 (P307.2)";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours";"%";"75,1";"75,8";"80";"80";"75,8";"2017";"90";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"MAB.2 (P307.2)";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"Stratégique mission";"Pourcentage de permis de conduire délivrés dans un délai de 20 jours";"%";"SO";"99,2";"85";"95";"97,7";"2017";"90";"";""
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.1";"Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale";"Citoyen";"";"Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale";"%";"64,7";"71,8";"68";"74";"76";"2017";"70";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.2";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"Citoyen";"";"Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité";"%";"92,2";"93,5";"96";"94";"90,6";"2017";"100";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"";"Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI";"%";"78,9";"81,2";"87";"85";"79,24";"2017";"90";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.1";"Améliorer la prévention dans le domaine de la sécurité nationale";"P307.1.3";"Niveau de préparation aux crises";"Citoyen";"";"Taux de préfectures ayant réalisé au moins 4 exercices dans l'année";"%";"54,9*";"72,5";"80";"80";"79,41";"2017";"80";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"P307.2.1";"Taux de dossiers de fraude documentaire détectés par les préfectures";"Usager";"";"Taux de dossiers de fraude documentaire détectés par les préfectures";"‰";"0,50";"0,48";"0,50";"0,5";"0,57";"2017";"0,5";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"";"Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours";"%";"75,1";"75,8";"80";"80";"75,8";"2017";"90";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.2";"Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres";"P307.2.2";"Délais moyens de délivrance des titres";"Usager";"";"Pourcentage de permis de conduire délivrés dans un délai de 20 jours";"%";"SO";"99,2";"85";"95";"97,7";"2017";"90";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.3";"Moderniser et rationaliser le contrôle de légalité";"P307.3.1";"Taux de contrôle des actes prioritaires reçus en préfecture";"Citoyen";"";"Taux de contrôle des actes prioritaires reçus en préfecture";"%";"89,6";"89,6";"100";"100";"90,6";"2017";"100";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.3";"Moderniser et rationaliser le contrôle de légalité";"P307.3.2";"Taux d'actes télétransmis par l'application ACTES";"Citoyen";"";"Taux d'actes télétransmis par l'application ACTES";"%";"40";"46,1";"40";"48";"53,2";"2017";"45";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P307";"Administration territoriale";"P307.4";"Développer les actions de modernisation et de qualité";"P307.4.1";"Taux de préfectures certifiées ou labellisées Qualipref numérique 2.0";"Usager";"";"Taux de préfectures certifiées ou labellisées Qualipref numérique 2.0";"%";"SO";"95";"100";"100";"98";"2017";"100";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P232";"Vie politique, cultuelle et associative";"P232.1";"Organiser les élections au meilleur coût";"P232.1.1";"Coût moyen de l'élection par électeur inscrit sur les listes électorales";"Contribuable";"";"1.1.1 - Municipales 2014";"€/électeur inscrit";"3,10";"s.o.";"";"s.o.";"";"2017";"";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P232";"Vie politique, cultuelle et associative";"P232.1";"Organiser les élections au meilleur coût";"P232.1.1";"Coût moyen de l'élection par électeur inscrit sur les listes électorales";"Contribuable";"";"Part du coût de la propagande - Élections municipales";"€/électeur inscrit";"1,34";"s.o.";"";"s.o.";"";"2017";"";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P232";"Vie politique, cultuelle et associative";"P232.1";"Organiser les élections au meilleur coût";"P232.1.1";"Coût moyen de l'élection par électeur inscrit sur les listes électorales";"Contribuable";"";"1.1.2 - Cantonales 2011 / Départementales 2015";"€/électeur inscrit";"s.o.";"3,55";"";"3,61";"3,42";"2017";"";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P232";"Vie politique, cultuelle et associative";"P232.1";"Organiser les élections au meilleur coût";"P232.1.1";"Coût moyen de l'élection par électeur inscrit sur les listes électorales";"Contribuable";"";"Part du coût de la propagande par électeur - Élections départementales";"%";"s.o.";"1,95";"-";"1,86";"1,84";"2017";"-";"MIN09";"Intérieur"
"Budget général";"Administration générale et territoriale de l'État";"P232";"Vie politique, cultuelle et associative";"P232.1";"Organiser les élections au meilleur coût";"P232.1.1";"Coût moyen de l'élection par électeur inscrit sur les listes électorales";"Contribuable";"";"1.1.3 - Sénatoriales 2011 / 2014";"€/électeur inscrit";"0,16";"s.o.";"";"s.o.";"";"2017";"";"MIN09";"Intérieur"
