Type de Mission;Mission;COD_PGM;Programme;Numéro Objectif;Objectif;Numéro indicateur;Indicateur;type indicateur;Stratégique au niveau mission?;Sous-indicateur;Unité;Réalisation 2013;Réalisation 2014;Prévision 2015 PAP 2015;Prévision 2015 PAP 2016;Réalisation 2015;Année cible;Valeur cible;Code Ministère LFI 2015;Ministère LFI 2015
Budget général;Action extérieure de l'État;;;MAA.1 (P185.2);Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;Stratégique mission;4. Montant des recettes touristiques liées aux séjours des touristes étrangers en France;Milliards d'euros;42,6;43,2;38;44;N.D;2017;39,5;;
Budget général;Action extérieure de l'État;;;MAA.1 (P185.2);Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;Stratégique mission;5. Part du partenariat dans le budget d'Atout France;%;49,8;50,5;50;50;48,5;2017;50;;
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.1;Construire l'Europe;P105.1.1;Présence des Français et usage du français dans l'Union européenne;Citoyen;;1. Encadrement UE;%;11;11;11;11;9.9;2017;11;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.1;Construire l'Europe;P105.1.1;Présence des Français et usage du français dans l'Union européenne;Citoyen;;2. Usage du français à l'Union européenne;%;10;10;10;10;5;2017;10;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.2;Renforcer la sécurité internationale et la sécurité des Français;P105.2.1;Evaluation de la politique de coopération, de sécurité et de défense;Citoyen;;Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD);%;44,5;42,5;44,3;43,9;42,2;2017;47,2;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.2;Renforcer la sécurité internationale et la sécurité des Français;P105.2.2;Veiller à la sécurité des Français à l'étranger;Citoyen;;"1. Pourcentage de relecture des fiches ""conseils aux voyageurs"" par bimestre";%;98,31;97;80;80;97;2017;90;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.2;Renforcer la sécurité internationale et la sécurité des Français;P105.2.2;Veiller à la sécurité des Français à l'étranger;Citoyen;;"2. Nombre de consultations du site ""Conseils aux voyageurs""";Nombre;6 649 179;8 371 722;7 320 000;7 320 000;8 169 599;2017;7 750 000;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.3;Promouvoir le multilatéralisme;P105.3.1;Optimiser l'effort français en faveur du maintien de la paix;Citoyen;;Evolution des mandats des opérations de maintien de la paix (OMP);%;20;31;35;n.d.*;27;2017;25;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.1;Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987;Citoyen;;Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987;%;4,31;4,21;4,68;4,33;4,33;2017;6;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.2;Efficience de la fonction support;Contribuable;;1. Ratio d'efficience de la gestion des ressources humaines;%;2,28;2,28;2,28;2,28;2,3;2017;2,27;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.2;Efficience de la fonction support;Contribuable;;- Effectifs gérés;Effectifs physiques;15 540;15 312;15 124;13 919*;13 934*;2017;14 894;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.2;Efficience de la fonction support;Contribuable;;2. Ratio d'efficience bureautique;€/poste;1 224;1 274;1 146;991**;1 064**;2017;1 169;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.2;Efficience de la fonction support;Contribuable;;- Nombre de postes bureautiques;Nombre de postes;15 466;15 547;15 299;15 883**;15 440**;2017;15 157;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;1. Ratio SUN / SUB;%;s.o;s.o;55,6;s.o;62,4;2017;55,6;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;2. Effectif ETPT;Nombre;14 306;14 108;13 974;s.o;13 872;2017;13 690;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;3. Ratio SUN / Poste de Travail;m²/poste;15,2;15,1;14,3;14,7;11,6;2017;13,6;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;4. Ratio Entretien courant / SUB;€/m2;5,36;7,24;5,31;5,91*;7,73;2017;5,39;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;5. Ratio Entretien lourd / SUB;€/m2;1,4;1,61;1,29;7,99*;1,75;2017;7,09;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.3;Efficience de la gestion immobilière;Contribuable;;6. Coût des travaux structurants;€;s.o;s.o;s.o;s.o;s.o;2017;s.o;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.4;Respect des coûts et délais des grands projets d'investissement;Contribuable;;1. Nombre de projets;Nombre;13;17;16;n.d.*;15;2017;7;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.4;Respect des coûts et délais des grands projets d'investissement;Contribuable;;2. Proportion des projets en dépassement;%;38;41;37,5;n.d.*;53,3;2017;29;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.4;Respect des coûts et délais des grands projets d'investissement;Contribuable;;3. Dépassement de coûts cumulés;M€;2,8;13.9;10,4;n.d.*;19,6;2017;3,8;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.4;Respect des coûts et délais des grands projets d'investissement;Contribuable;;4. Proportion des projets en retard;%;30,7;35;25;n.d.*;47;2017;0;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105.4;Assurer un service diplomatique efficient et de qualité;P105.4.5;Efficience de la fonction achat;Contribuable;;Gains relatifs aux actions d'achat;millions d'euros;2,6;2,9;2;2;2,4;2017;2;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.1;Renforcer l'influence culturelle de la France en Europe et dans le monde;P185.1.1;Diffusion de la langue française;Citoyen;;1. Nombre d'établissements Label FrancÉducation;Nombre;32;56;50;N.D.;91;2017;65;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.1;Renforcer l'influence culturelle de la France en Europe et dans le monde;P185.1.1;Diffusion de la langue française;Citoyen;;2. Nombre d'élèves inscrits aux cours de langue des établissements culturels français (EAF et AF);Nombre;1 082 689;1 091 204;1 098 000;1 098 000;1 083 432;2017;1 109 000;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.1;Renforcer l'influence culturelle de la France en Europe et dans le monde;P185.1.1;Diffusion de la langue française;Citoyen;;3. Nombre d'heures/élèves de cours de langue des établissements culturels français (EAF et AF);h/élèves;43 029 730;42 511 902;43 700 000;42 900 000;41 414 027;2017;44 200 000;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.1;Renforcer l'influence culturelle de la France en Europe et dans le monde;P185.1.1;Diffusion de la langue française;Citoyen;;4. Nombre de candidats aux certifications et tests de langue française;Nombre;490 161;513 123;555 000;505 000;518 610;2017;589 000;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.1;Appui au commerce extérieur;Citoyen;;1. Solde du commerce extérieur;milliards d'euros;-61,5;-58,3;-49,8;s.o.;-45,7;2017;-;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.1;Appui au commerce extérieur;Citoyen;;2. Solde du commerce extérieur hors énergie;milliards d'euros;-13;-20,8;-16;-16;-23,2;2017;-;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;;1. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire;%;48;48,1;51;51;48,1;2017;52;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;;2. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français;Nombre;128 972;128 573;133 000;132 500;N.D;2017;135 000;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;;3. Nombre de touristes étrangers en France;Nombre;83,7;83,8;86,7;86;N.D;2017;90,2;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;;4. Montant des recettes touristiques liées aux séjours des touristes étrangers en France;Milliards d'euros;42,6;43,2;38;44;N.D;2017;39,5;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.2;Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;;5. Part du partenariat dans le budget d'Atout France;%;49,8;50,5;50;50;48,5;2017;50;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.3;Améliorer le pilotage et l'efficience dans la gestion des crédits;P185.3.1;Dynamisation des ressources externes;Contribuable;;1. Montant des cofinancements levés;M€;205,7;194;205,7;196;191;2017;205,7;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.3;Améliorer le pilotage et l'efficience dans la gestion des crédits;P185.3.1;Dynamisation des ressources externes;Contribuable;;2. Part des ressources propres dans les ressources des établissements d'enseignement français à l'étranger;%;59,8;59,6;60,3;60,3;62,5;2017;61,6;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185.3;Améliorer le pilotage et l'efficience dans la gestion des crédits;P185.3.1;Dynamisation des ressources externes;Contribuable;;3. Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires hors personnel MAEDI;%;66,4;67;68;67;68;2017;69;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;;1. Passeports (réseau);Jour;11,8;11,5;11-12;11;11,5;2017;10;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;;2. Cartes nationales d'identité (réseau);Jour;45;42;42-47;42;42;2017;42-47;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;;3. État Civil - transcription des actes (réseau);Jour;21;27;20-21;25;24,5;2017;20-21;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;;4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées;Jour;2;3,5;2;2;4;2017;02-janv;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;;5. Visas court séjour;Jour;3,5;3;2-3;2,5;3,8;2017;03-févr;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.2;Nombre de documents délivrés par ETPT;Contribuable;;1. Administration des Français (réseau)*;Nombre;161;168;155-160;160;167;2017;160-165;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.2;Nombre de documents délivrés par ETPT;Contribuable;;2. Actes d'état civil : établissement et transcription (SCEC);Nombre;60;93;60-90;90;100;2017;70-90;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.2;Nombre de documents délivrés par ETPT;Contribuable;;3. Actes d'état civil : exploitation (SCEC);Nombre;1128;1191;1100-1200;1200;1253;2017;1100-1200;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151.1;Assurer un service consulaire de qualité;P151.1.2;Nombre de documents délivrés par ETPT;Contribuable;;4. Visas (réseau)*;Nombre;332;346;330-350;350;401;2017;350-370;MIN01;Affaires étrangères et développement international
Budget général;Action extérieure de l'État;P341;Conférence 'Paris Climat 2015';;;;;;;;;;;;;;;;MIN01;Affaires étrangères et développement international
Budget général;Administration générale et territoriale de l'État;;;MAB.1 (P307.1);Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.3;Niveau de préparation aux crises;Citoyen;Stratégique mission;Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI;%;77;78,9;85;85;81,2;2017;90;;
Budget général;Administration générale et territoriale de l'État;;;MAB.1 (P307.1);Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.3;Niveau de préparation aux crises;Citoyen;Stratégique mission;Taux de préfectures ayant réalisé au moins 4 exercices dans l'année;%;70*;54,9*;80;80;72,5;2017;80;;
Budget général;Administration générale et territoriale de l'État;;;MAB.2 (P307.2);Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres;P307.2.2;Délais moyens de délivrance des titres;Usager;Stratégique mission;Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours;%;75,1;75,1;80;80;75,8;2017;90;;
Budget général;Administration générale et territoriale de l'État;;;MAB.2 (P307.2);Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres;P307.2.2;Délais moyens de délivrance des titres;Usager;Stratégique mission;Pourcentage de permis de conduire délivrés dans un délai de 20 jours;%;SO;SO;70;80;99,2;2017;90;;
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.1;Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.1;Taux d'élaboration des plans communaux de sauvegarde pour les communes soumises à obligation légale;Citoyen;;Taux d'élaboration des plans communaux de sauvegarde dans les communes soumises à obligation légale;%;60;64,7;65;66;71,8;2017;70;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.1;Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.2;Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité;Citoyen;;Taux d'établissements recevant du public soumis à obligation de contrôle visités par la commission de sécurité;%;95;92,2;98;96;93,5;2017;100;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.1;Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.3;Niveau de préparation aux crises;Citoyen;;Taux d'exercices de sécurité civile réalisés dans les délais réglementaires sur les sites soumis à PPI;%;77;78,9;85;85;81,2;2017;90;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.1;Améliorer la prévention dans le domaine de la sécurité nationale;P307.1.3;Niveau de préparation aux crises;Citoyen;;Taux de préfectures ayant réalisé au moins 4 exercices dans l'année;%;70*;54,9*;80;80;72,5;2017;80;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.2;Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres;P307.2.1;Taux de dossiers de fraude documentaire détectés par les préfectures;Usager;;Taux de dossiers de fraude documentaire détectés par les préfectures;‰;0,37;0,50;0,50;0,5;0,48;2017;0,5;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.2;Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres;P307.2.2;Délais moyens de délivrance des titres;Usager;;Pourcentage de passeports biométriques mis à disposition dans un délai de 15 jours;%;75,1;75,1;80;80;75,8;2017;90;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.2;Optimiser les conditions de délivrance de titres fiables et l'efficacité des services de délivrance de titres;P307.2.2;Délais moyens de délivrance des titres;Usager;;Pourcentage de permis de conduire délivrés dans un délai de 20 jours;%;SO;SO;70;80;99,2;2017;90;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.3;Moderniser et rationaliser le contrôle de légalité;P307.3.1;Taux de contrôle des actes prioritaires reçus en préfecture;Citoyen;;Taux de contrôle des actes prioritaires reçus en préfecture;%;93;89,6;97;100;89,6;2017;100;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.3;Moderniser et rationaliser le contrôle de légalité;P307.3.2;Taux d'actes télétransmis par l'application ACTES;Citoyen;;Taux d'actes télétransmis par l'application ACTES;%;33,7;40;38;38;46,1;2017;45;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.4;Améliorer la coordination des actions interministérielles;P307.4.1;Délai d'instruction des dossiers ICPE et loi sur l'eau;Citoyen;;Délai d'instruction des dossiers ICPE et loi sur l'eau;Jours;313;285;315;320;273;2017;250;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P307;Administration territoriale;P307.5;Développer les actions de modernisation et de qualité;P307.5.1;Taux de préfectures certifiées ou labellisées Qualipref numérique 2.0;Usager;;Taux de préfectures certifiées ou labellisées Qualipref numérique 2.0;%;SO;SO;100;100;95;2017;100;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.1 - Municipales 2014;€/électeur inscrit;-;3,10;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande - Élections municipales;€/électeur inscrit;-;1,34;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.2 - Cantonales 2011 / Départementales 2015;€/électeur inscrit;;;2,17;3,61;3,55;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections départementales;%;;;0,39;1,86;1,95;2017;-;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.3 - Sénatoriales 2011 / 2014;€/électeur inscrit;-;0,16;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections sénatoriales;€/électeur inscrit;;0,01;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.4 - Européennes 2009 / 2014;€/électeur inscrit;-;2,12;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections européennes;€/électeur inscrit;-;1,38;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.5 - Régionales 2010 / 2015;€/électeur inscrit;;;2,30;3,96;3,62;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections régionales;€/électeur inscrit;s.o.;s.o.;0,74;2,49;2,22;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.6 - Présidentielles 2012;€/électeur inscrit;-;s.o.;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections présidentielles;€/électeur inscrit;-;s.o.;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.7 - Législatives 2012;€/électeur inscrit;-;s.o.;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;Part du coût de la propagande par électeur - Élections législatives;€/électeur inscrit;-;s.o.;;;;2017;;MIN09;Intérieur
Budget général;Administration générale et territoriale de l'État;P232;Vie politique, cultuelle et associative;P232.1;Organiser les élections au meilleur coût;P232.1.1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;;1.1.8 - Référendum;€/électeur inscrit;-;s.o.;;;;2017;;MIN09;Intérieur
