GESTION;2016;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;
;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;
Ministère;Libellé ministère;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;04;Attractivité et recherche;;256;9 376 032;;;83 136 391;445;92 513 124
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;;;387 334 467;;;607 900;;387 942 367
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;75 296 814;;;;;;75 296 814
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;07;Développement international – Tourisme;;;31 528 996;;;8 519 347;;40 048 343
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;02;Coopération bilatérale;;26 896;8 679 494;;;483 246 630;;491 953 020
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;;;1 776 441;;;158 922 611;;160 699 052
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;07;Coopération communautaire;;;;;;703 800 000;;703 800 000
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;196 390 041;;;;;;196 390 041
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;09;Actions de co-développement;;38 659;48 051;;;2 044 895;;2 131 605
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';01;Préparation et suivi de la COP21;;;4 614 076;;;447 651;;5 061 727
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';02;Organisation de la COP21;;;139 059 549;;;;;139 059 549
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';03;Accueil des délégations étrangères;;;11 596;;;-489 154;;-477 558
02;Culture et communication;131;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;273 962 953;;3 064 480;381 628 440;21 958 953;680 614 826
02;Culture et communication;131;Création;02;Soutien à la création, à la production et à la diffusion des arts plastiques;;;16 326 437;;1 425 349;44 886 421;5 301 400;67 939 607
02;Culture et communication;175;Patrimoines;01;Patrimoine monumental;;;44 053 273;;67 605 275;123 140 171;66 534 777;301 333 496
02;Culture et communication;175;Patrimoines;02;Architecture;;;19 039 987;;270 903;8 365 672;1 105 488;28 782 050
02;Culture et communication;175;Patrimoines;03;Patrimoine des musées de France;;;289 327 716;;8 201 161;21 456 942;23 401 117;342 386 936
02;Culture et communication;175;Patrimoines;04;Patrimoine archivistique et célébrations nationales;;;13 791 355;;389 664;5 832 937;;20 013 956
02;Culture et communication;175;Patrimoines;07;Patrimoine linguistique;;;;;;3 074 793;;3 074 793
02;Culture et communication;175;Patrimoines;08;Acquisition et enrichissement des collections publiques;;;47 990;;3 172 367;2 516 163;3 045 607;8 782 127
02;Culture et communication;175;Patrimoines;09;Patrimoine archéologique;;;90 688 644;;5 339 483;56 906 857;1 472 000;154 406 984
02;Culture et communication;180;Presse;01;Relations financières avec l'AFP;;;21 655 380;;;107 420 859;;129 076 239
02;Culture et communication;180;Presse;02;Aides à la presse;;;150 198;;;101 378 160;428 204;101 956 562
02;Culture et communication;186;Recherche culturelle et culture scientifique;01;Recherche culturelle;;;4 520 620;;1 581 520;3 540 431;;9 642 571
02;Culture et communication;186;Recherche culturelle et culture scientifique;03;Culture scientifique et technique;;;94 183 741;;;;14 143 802;108 327 543
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;140 467 847;;11 454 072;91 868 238;21 769 043;265 559 200
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;6 418 149;;-567 702;95 721 828;4 129 671;105 701 946
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;06;Action culturelle internationale;;;810 486;;;5 092 084;;5 902 570
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;07;Fonctions de soutien du ministère;;668 738 265;85 651 390;;1 686 476;43 000;;756 119 131
02;Culture et communication;313;Contribution à l'audiovisuel et à la diversité radiophonique;10;Soutien à l'expression radiophonique locale;;;8 489;;;29 110 735;;29 119 224
02;Culture et communication;334;Livre et industries culturelles;01;Livre et lecture;;;184 087 227;;9 900 000;30 669 644;23 258 266;247 915 137
02;Culture et communication;334;Livre et industries culturelles;02;Industries culturelles;;;1 049 412;;;13 325 438;;14 374 850
02;Culture et communication;334;Livre et industries culturelles;03;Soutien aux médias de proximité;;;;;;1 547 098;;1 547 098
02;Culture et communication;334;Livre et industries culturelles;04;Compagnie internationale de radio et télévision (CIRT);;;;;;1 650 000;;1 650 000
03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;203 341 818;34 294 235;;;38 428 299;14 436 810;290 501 162
03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie;;1 677 049;27 753 636;;;4 030 894;;33 461 579
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;01;Mise en oeuvre de l'enseignement dans les établissements publics;;674 859 235;1 844 753;;;35 796 117;1 583 461;714 083 566
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;205 044 497;726 903;;;362 764 178;;568 535 578
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;03;Aide sociale aux élèves (enseignement public et privé);;;290 069;;;78 769 969;;79 060 038
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;04;Évolution des compétences et dynamique territoriale;;;1 297 870;;;2 224 679;;3 522 549
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;05;Moyens communs à l'enseignement technique agricole, public et privé;;;4 928 668;;;133 897;;5 062 565
03;Agriculture, agroalimentaire et forêt;149;Forêt;11;Gestion des forêts publiques et protection de la forêt;;;171 473 247;;1 953 994;9 755 362;;183 182 603
03;Agriculture, agroalimentaire et forêt;149;Forêt;12;Développement économique de la filière et gestion durable;;;15 930 865;;212 456;38 292 874;;54 436 195
03;Agriculture, agroalimentaire et forêt;149;Forêt;13;Fonds stratégique de la forêt et du bois;;;633 447;;;6 695 123;;7 328 570
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;11;Adaptation des filières à l'évolution des marchés;;;9 325 035;;;247 143 779;;256 468 814
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;12;Gestion des crises et des aléas de la production;;;203 922;;;121 620 069;92 200 000;214 023 991
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;13;Appui au renouvellement et à la modernisation des exploitations agricoles;;;153 422;;;73 108 183;2 636;73 264 241
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;14;Gestion équilibrée et durable des territoires;;;6 767 891;;41 026;507 766 562;;514 575 479
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;15;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;609 998 698;;7 964;271 842;10 126 179;620 404 683
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;;;6 660 512;;96 934;15 146 542;29 400;21 933 388
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales et protection des animaux;;;98 544 358;;139 752;32 423 873;;131 107 983
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;;;11 899 467;;;5 566 001;;17 465 468
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;;;66 996 148;;1 352 876;1 449 537;0;69 798 561
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;05;Elimination des cadavres et des sous-produits animaux;;;3 380 280;;;1 000 000;;4 380 280
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;301 401 983;852 941;;;21 948;;302 276 872
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;976 709;;;3 080 779;;4 057 488
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;01;Moyens de l'administration centrale;;167 519 918;35 181 564;;82 882;1 387 655;;204 172 019
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;12 605 247;5 019 078;;;152 224;;17 776 549
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;369 022 352;20 367 932;;786 705;202 541;;390 379 530
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;04;Moyens communs;;41 157 263;23 391 360;;4 320 579;494 000;1 019 000;70 382 202
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;01;Enseignement pré-élémentaire;;409 807 863;23;;;;;409 807 886
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;02;Enseignement élémentaire;;1 193 235 720;53;;;;;1 193 235 773
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;03;Enseignement en collège;;1 961 689 345;;;;;;1 961 689 345
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;04;Enseignement général et technologique en lycée;;1 475 177 920;;;;;;1 475 177 920
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;05;Enseignement professionnel sous statut scolaire;;666 726 010;;;;;;666 726 010
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;06;Enseignement post-baccalauréat en lycée;;155 698 204;;;;;;155 698 204
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;07;Dispositifs spécifiques de scolarisation;;156 759 108;;;;7 000;;156 766 108
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;08;Actions sociales en faveur des élèves;;;;;;65 781 603;;65 781 603
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;09;Fonctionnement des établissements;;;26 002;;;663 554 785;;663 580 787
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;10;Formation initiale et continue des enseignants;;91 484 219;;;;37 244 248;;128 728 467
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;11;Remplacement;;155 799 323;;;;;;155 799 323
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;12;Soutien;;219 410 144;3 000 826;;;741;;222 411 711
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;01;Enseignement pré-élémentaire;;5 216 675 685;582 179;;;238 173;;5 217 496 037
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;02;Enseignement élémentaire;;10 207 077 828;5 322 533;;;11 408 176;;10 223 808 537
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;03;Besoins éducatifs particuliers;;1 483 311 517;3 242 557;;;130 675;;1 486 684 749
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;04;Formation des personnels enseignants;;716 048 504;10 277 834;;;304 614;;726 630 952
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;05;Remplacement;;1 564 975 010;61;;;;;1 564 975 071
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;06;Pilotage et encadrement pédagogique;;1 140 183 232;6 418 025;;;10 146;;1 146 611 403
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;07;Personnels en situations diverses;;77 205 436;;;;;;77 205 436
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;01;Enseignement en collège;;11 129 260 274;12 327 513;;;161 136 622;;11 302 724 409
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;02;Enseignement général et technologique en lycée;;8 461 546 575;5 363 075;;78 679;14 415 581;;8 481 403 910
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;03;Enseignement professionnel sous statut scolaire;;3 774 800 765;1 682 182;;;9 287 711;;3 785 770 658
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;04;Apprentissage;;5 603 941;37 491;;;549 162;;6 190 594
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;05;Enseignement post-baccalauréat en lycée;;1 128 432 375;90 757;;;1 118 664;;1 129 641 796
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;852 009 229;306 001;;;2 340 681;;854 655 911
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;07;Aide à l'insertion professionnelle;;40 753 042;164 967;;;3 860 967;;44 778 976
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;08;Information et orientation;;271 932 329;1 492 309;;;20 000;;273 444 638
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;09;Formation continue des adultes et validation des acquis de l'expérience;;79 376 292;-108 665;;;1 958 606;;81 226 233
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;10;Formation des personnels enseignants et d'orientation;;554 141 687;19 750 509;;13 026;653 738;;574 558 960
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;11;Remplacement;;1 227 703 449;-1 116;;;;;1 227 702 333
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;3 534 213 097;6 686 822;;;7 000;;3 540 906 919
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;13;Personnels en situations diverses;;163 208 282;;;;;;163 208 282
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;01;Formation initiale et continue du baccalauréat à la licence;;44 948 912;2 932 738 218;;;;;2 977 687 130
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;02;Formation initiale et continue de niveau master;;94 662 546;2 273 470 280;;;773 770;;2 368 906 596
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;03;Formation initiale et continue de niveau doctorat;;11 759 174;343 352 979;;;5 296 151;;360 408 304
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;04;Établissements d'enseignement privés;;;410;;;76 391 340;;76 391 750
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;05;Bibliothèques et documentation;;36 750 834;410 392 285;;;2 082 177;;449 225 296
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées;;31 252 457;82 212 755;;;482 220;;113 947 432
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;14;Immobilier;;31 873 957;914 259 876;;45 011 971;1 275 739;139 107 201;1 131 528 744
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme;;151 720 919;1 369 942 514;;83 048;17 702 872;;1 539 449 353
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;17;Recherche;;90 896 150;3 698 479 552;;;540 705;;3 789 916 407
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;01;Pilotage et animation;;;54 922 489;;;96 818 043;23 560 383;175 300 915
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche;;;28 785 743;;;495 731 675;;524 517 418
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales;;;57 926 257;;;;;57 926 257
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies;;;149 007 118;;;;;149 007 118
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche;;;233 417 666;;;14 700 000;;248 117 666
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche;;;697 449 058;;;;2 600 000;700 049 058
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;15;Recherches scientifiques et technologiques en sciences de la vie et de la santé;;;1 096 267 528;;;101 547 255;;1 197 814 783
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;16;Recherches scientifiques et technologiques en sciences et techniques de l'information;;;967 279 785;;;13 590 640;;980 870 425
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;17;Recherches scientifiques et technologiques dans le domaine de l'énergie;;;353 362 365;;;307 818 440;;661 180 805
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;18;Recherches scientifiques et technologiques dans le domaine de l'environnement;;;1 053 396 529;;;38 117 927;;1 091 514 456
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales;;;388 507 226;;;1 154 485;;389 661 711
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;01;Développement de la technologie spatiale au service de la science;;;71 876 044;;;110 662 241;;182 538 285
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre;;;166 752 423;;;111 481 962;;278 234 385
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;03;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication;;;29 325 426;;;88 529 794;;117 855 220
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;04;Maîtrise de l'accès à l'espace;;;134 551 954;;;310 673 998;;445 225 952
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;05;Maîtrise des technologies orbitales et de l'innovation technologique;;;115 001 670;;;106 563 640;;221 565 310
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;06;Moyens généraux et d'appui à la recherche;;;34 634 674;;;26 231 050;;60 865 724
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;07;Développement des satellites de météorologie;;;;;;56 732 027;;56 732 027
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;01;Pilotage et mise en oeuvre des politiques éducatives;;429 534 887;7 065;;;;;429 541 952
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;86 409 435;3 833 580;;12 492;231 917;;90 487 424
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;03;Communication;;11 150 652;4 605 351;;;12 847;;15 768 850
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;04;Expertise juridique;;17 750 979;3 890 336;;;732 668;;22 373 983
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;05;Action internationale;;7 016 959;2 641 411;;;1 741 705;;11 400 075
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;06;Politique des ressources humaines;;535 542 837;85 807 007;;;9 865 586;;631 215 430
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;07;Établissements d'appui de la politique éducative;;;150 723 325;;;;;150 723 325
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;08;Logistique, système d'information, immobilier;;275 515 468;286 459 398;;118 697 573;88 415 733;;769 088 172
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;09;Certification;;135 168 999;25 631 137;;;3 342 871;;164 143 007
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;10;Transports scolaires;;20 505;272 662;;;2 643 753;;2 936 920
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;01;Vie scolaire et éducation à la responsabilité;;883 421 001;18 102 031;;;1 376 281 597;;2 277 804 629
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;02;Santé scolaire;;543 756 486;2 180 040;;;2 616 420;;548 552 946
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;03;Inclusion scolaire des élèves en situation de handicap;;355 969 161;17 759 301;;;421 280 697;;795 009 159
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;04;Action sociale;;182 801 965;1 968 581;;;614 471 298;;799 241 844
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;05;Politique de l'internat et établissements à la charge de l'Etat;;41 929 161;504 972;;;14 914 182;;57 348 315
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;06;Actions éducatives complémentaires aux enseignements;;;703 391;;;426 911 360;;427 614 751
06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;01;Aides directes;;;26 800 265;;;2 149 991 198;;2 176 791 463
06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;02;Aides indirectes;;;159 196 917;;9 805 689;7 340 234;65 489 040;241 831 880
06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;03;Santé des étudiants et activités associatives, culturelles et sportives;;;37 682 757;;;9 961 231;;47 643 988
06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;04;Pilotage et animation du programme;;;80 612 177;;;;12 000;80 624 177
07;Finances et comptes publics;110;Aide économique et financière au développement;01;Aide économique et financière multilatérale;;;;;;124 160 956;507 808 246;631 969 202
07;Finances et comptes publics;110;Aide économique et financière au développement;02;Aide économique et financière bilatérale;;;5 620 249;;;147 944 698;;153 564 947
07;Finances et comptes publics;110;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;;;;42 883 516;62 567 100;105 450 616
07;Finances et comptes publics;114;Appels en garantie de l'État (crédits évaluatifs);02;Soutien au domaine social, logement, santé;;;;;;22 600 000;;22 600 000
07;Finances et comptes publics;114;Appels en garantie de l'État (crédits évaluatifs);03;Financement des entreprises et industrie;;;;;;1 477 891;;1 477 891
07;Finances et comptes publics;114;Appels en garantie de l'État (crédits évaluatifs);04;Développement international de l'économie française;;;;;;97 500 000;;97 500 000
07;Finances et comptes publics;117;Charge de la dette et trésorerie de l'État (crédits évaluatifs);01;Dette;;;;40 411 141 605;;;;40 411 141 605
07;Finances et comptes publics;117;Charge de la dette et trésorerie de l'État (crédits évaluatifs);03;Trésorerie;;;;1 035 875 505;;;;1 035 875 505
07;Finances et comptes publics;145;Épargne;01;Épargne logement;;;1 465 102;;;119 980 924;;121 446 026
07;Finances et comptes publics;145;Épargne;02;Instruments de financement du logement;;;720 028;;;964 006;;1 684 034
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;01;Fiscalité des grandes entreprises;;105 214 283;11 906 591;;;;;117 120 874
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;02;Fiscalité des PME;;1 574 046 307;51 186 310;;5 899 863;;;1 631 132 480
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;03;Fiscalité des particuliers et fiscalité directe locale;;2 105 379 132;78 040 327;;2 275 213;;;2 185 694 672
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;05;Gestion financière de l'État hors fiscalité;;700 448 519;12 996 453;;2 369 701;;;715 814 673
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;06;Gestion des pensions;;59 772 813;3 855 197;;715 803;336 810;;64 680 623
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;07;Gestion financière du secteur public local hors fiscalité;;1 321 348 116;28 898 213;;650 840;;;1 350 897 169
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;08;Gestion des fonds déposés;;53 462 100;25 388;;;;;53 487 488
07;Finances et comptes publics;156;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;1 015 731 264;839 711 411;;21 344 301;339 841;1 489;1 877 128 306
07;Finances et comptes publics;168;Majoration de rentes;01;Participation de l'État aux majorations de rentes viagères;;;;;;32 104 874;;32 104 874
07;Finances et comptes publics;195;Régimes de retraite des mines, de la SEITA et divers;01;Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines;;;;;;1 263 710 000;;1 263 710 000
07;Finances et comptes publics;195;Régimes de retraite des mines, de la SEITA et divers;02;Régime de retraite de la SEITA;;;;;;163 000 000;;163 000 000
07;Finances et comptes publics;195;Régimes de retraite des mines, de la SEITA et divers;04;Caisse des retraites des régies ferroviaires d'outre-mer;;;;;;2 450 000;;2 450 000
