GESTION;2015;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;
;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;
Ministère;Libellé ministère;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;76 513 658;;;;0;;76 513 658
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;07;Développement international – Tourisme;;;33 231 570;;;;;33 231 570
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;02;Coopération bilatérale;;68 172;38 935 593;;;494 805 777;;533 809 542
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;;;0;;;332 239 450;;332 239 450
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;07;Coopération communautaire;;;0;;;598 076 601;;598 076 601
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;200 601 820;;;;;;200 601 820
01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;09;Actions de co-développement;;145 843;;;19 950;1 282 202;;1 447 995
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';01;Préparation et suivi de la COP21;;;4 743 547;;;517 000;;5 260 547
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';02;Organisation de la COP21;;;16 595 034;;;0;;16 595 034
01;Affaires étrangères et développement international;341;Conférence 'Paris Climat 2015';03;Accueil des délégations étrangères;;;19 683;;;6 027 914;;6 047 597
02;Culture et communication;131;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;261 809 705;;4 076 702;386 519 285;22 706 030;675 111 722
02;Culture et communication;131;Création;02;Soutien à la création, à la production et à la diffusion des arts plastiques;;;15 033 836;;1 038 133;46 728 187;2 932 128;65 732 284
02;Culture et communication;175;Patrimoines;01;Patrimoine monumental;;;38 213 764;;86 042 949;124 772 923;61 672 217;310 701 853
02;Culture et communication;175;Patrimoines;02;Architecture;;;17 839 633;;735 537;8 574 466;847 924;27 997 560
02;Culture et communication;175;Patrimoines;03;Patrimoine des musées de France;;;267 252 261;;11 060 253;23 957 782;25 410 428;327 680 724
02;Culture et communication;175;Patrimoines;04;Patrimoine archivistique et célébrations nationales;;;12 547 509;;6 122 706;5 263 463;;23 933 678
02;Culture et communication;175;Patrimoines;07;Patrimoine linguistique;;;0;;;3 029 755;;3 029 755
02;Culture et communication;175;Patrimoines;08;Acquisition et enrichissement des collections publiques;;;47 818;;2 119 754;2 200 280;3 548 483;7 916 335
02;Culture et communication;175;Patrimoines;09;Patrimoine archéologique;;;50 462 412;;3 654 645;13 547 546;;67 664 603
02;Culture et communication;180;Presse;01;Relations financières avec l'AFP;;;21 655 380;;;105 020 859;;126 676 239
02;Culture et communication;180;Presse;02;Aides à la presse;;;126 896;;;122 479 307;43 423;122 649 626
02;Culture et communication;186;Recherche culturelle et culture scientifique;01;Recherche culturelle;;;5 276 880;;571 577;3 733 181;0;9 581 638
02;Culture et communication;186;Recherche culturelle et culture scientifique;03;Culture scientifique et technique;;;93 826 684;;;19 500;8 935 489;102 781 673
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;132 523 321;;20 099 885;84 889 601;10 864 507;248 377 314
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;6 049 186;;21 700;82 802 260;0;88 873 146
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;03;Soutien aux établissements d'enseignement spécialisé;;;;;;0;;0
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;06;Action culturelle internationale;;;946 259;;;5 842 972;;6 789 231
02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;07;Fonctions de soutien du ministère;;661 676 105;80 009 465;;5 675 554;111 591;;747 472 715
02;Culture et communication;313;Contribution à l'audiovisuel et à la diversité radiophonique;01;France Télévisions;;;;;;160 416 710;;160 416 710
02;Culture et communication;313;Contribution à l'audiovisuel et à la diversité radiophonique;03;Soutien à l'expression radiophonique locale;;;0;;;0;;0
02;Culture et communication;313;Contribution à l'audiovisuel et à la diversité radiophonique;10;Soutien à l'expression radiophonique locale;;;8 721;;;29 113 513;;29 122 234
02;Culture et communication;334;Livre et industries culturelles;01;Livre et lecture;;;185 461 851;;13 246 571;27 963 941;22 380 298;249 052 661
02;Culture et communication;334;Livre et industries culturelles;02;Industries culturelles;;;85 505;;;9 473 396;;9 558 901
03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;196 928 673;34 663 186;;;39 491 500;14 843 329;285 926 688
03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie;;1 832 748;28 143 281;;;4 774 236;;34 750 265
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;01;Mise en oeuvre de l'enseignement dans les établissements publics;;662 467 696;2 000 334;;;35 842 860;326 879;700 637 769
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;200 945 782;662 211;;;363 419 113;;565 027 106
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;03;Aide sociale aux élèves (enseignement public et privé);;;467 858;;;82 043 945;;82 511 803
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;04;Évolution des compétences et dynamique territoriale;;;1 352 504;;;2 780 607;;4 133 111
03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;05;Moyens communs à l'enseignement technique agricole, public et privé;;-56 432;5 350 837;;;99 463;216;5 394 084
03;Agriculture, agroalimentaire et forêt;149;Forêt;11;Gestion des forêts publiques et protection de la forêt;;;199 493 559;;3 290 304;7 505 564;;210 289 427
03;Agriculture, agroalimentaire et forêt;149;Forêt;12;Développement économique de la filière et gestion durable;;;632 214;;578 640;38 632 704;;39 843 558
03;Agriculture, agroalimentaire et forêt;149;Forêt;13;Fonds stratégique de la forêt et du bois;;;217 028;;;2 260 525;;2 477 553
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;11;Adaptation des filières à l'évolution des marchés;;;30 672 910;;;284 430 366;;315 103 276
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;12;Gestion des crises et des aléas de la production;;;11 244;;;54 908 750;26 874 419;81 794 413
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;13;Appui au renouvellement et à la modernisation des exploitations agricoles;;;303 692;;;213 924 003;5 000;214 232 695
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;14;Gestion équilibrée et durable des territoires;;;8 035 583;;18 600;810 283 803;;818 337 986
03;Agriculture, agroalimentaire et forêt;154;Économie et développement durable de l'agriculture et des territoires;15;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;1 074 731 115;;;10 000;12 495 242;1 087 236 357
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;;;5 123 858;;217 179;13 765 038;;19 106 075
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales et protection des animaux;;;81 761 767;;200 495;23 477 766;;105 440 028
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;;;9 268 044;;29 843;8 589 436;;17 887 323
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;;;63 938 628;;55 034;2 050 846;0;66 044 508
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;05;Elimination des cadavres et des sous-produits animaux;;;1 570 000;;;0;;1 570 000
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;291 201 268;833 858;;;19 552;;292 054 678
03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;803 867;;;3 261 226;;4 065 093
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;01;Moyens de l'administration centrale;;167 458 414;36 021 618;;103 655;1 537 049;;205 120 736
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;12 427 157;4 052 231;;0;935 647;;17 415 035
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;401 745 153;22 253 211;;1 134 970;70 596;;425 203 930
03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;04;Moyens communs;;46 726 310;22 438 219;;2 962 363;534 000;;72 660 892
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;01;Enseignement pré-élémentaire;;400 053 679;-276;;;0;;400 053 403
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;02;Enseignement élémentaire;;1 175 766 010;-528;;;-417;;1 175 765 065
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;03;Enseignement en collège;;1 943 652 476;-377;;;0;;1 943 652 099
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;04;Enseignement général et technologique en lycée;;1 447 625 040;;;;;;1 447 625 040
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;05;Enseignement professionnel sous statut scolaire;;660 385 391;;;;;;660 385 391
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;06;Enseignement post-baccalauréat en lycée;;151 898 936;;;;;;151 898 936
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;07;Dispositifs spécifiques de scolarisation;;153 026 563;-84;;;0;;153 026 479
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;08;Actions sociales en faveur des élèves;;500;3 450;;;65 824 739;;65 828 689
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;09;Fonctionnement des établissements;;;587 450;;;642 876 789;;643 464 239
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;10;Formation initiale et continue des enseignants;;88 313 716;1 543;;;35 509 398;;123 824 657
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;11;Remplacement;;157 689 494;;;;;;157 689 494
06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;12;Soutien;;239 682 262;3 129 280;;;1 118;;242 812 660
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;01;Enseignement pré-élémentaire;;5 122 659 354;479 624;;;89 796;;5 123 228 774
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;02;Enseignement élémentaire;;10 015 326 593;7 316 780;;0;11 601 692;;10 034 245 065
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;03;Besoins éducatifs particuliers;;1 441 479 458;3 164 384;;;77 088;;1 444 720 930
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;04;Formation des personnels enseignants;;585 468 584;10 114 529;;22 800;578 763;;596 184 676
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;05;Remplacement;;1 487 108 030;1 818;;;;;1 487 109 848
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;06;Pilotage et encadrement pédagogique;;1 107 774 196;6 415 637;;;0;;1 114 189 833
06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;07;Personnels en situations diverses;;75 225 618;0;;;;;75 225 618
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;01;Enseignement en collège;;11 050 604 371;9 347 143;;;34 576 623;;11 094 528 137
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;02;Enseignement général et technologique en lycée;;8 281 668 217;5 515 922;;378 067;13 589 288;;8 301 151 494
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;03;Enseignement professionnel sous statut scolaire;;3 762 638 810;1 938 655;;;9 763 102;;3 774 340 567
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;04;Apprentissage;;5 350 108;40 686;;;437 470;;5 828 264
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;05;Enseignement post-baccalauréat en lycée;;1 117 227 381;115 199;;;1 330 133;;1 118 672 713
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;847 120 716;296 001;;;2 667 117;;850 083 834
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;07;Aide à l'insertion professionnelle;;40 063 268;332 737;;;4 005 326;;44 401 331
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;08;Information et orientation;;271 343 743;1 335 126;;;25 740;;272 704 609
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;09;Formation continue des adultes et validation des acquis de l'expérience;;78 348 940;394 516;;;2 000 965;;80 744 421
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;10;Formation des personnels enseignants et d'orientation;;482 614 266;15 916 021;;;876 627;;499 406 914
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;11;Remplacement;;1 217 302 026;7 542;;;;;1 217 309 568
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;3 489 161 682;6 262 247;;0;11 900;;3 495 435 829
06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;13;Personnels en situations diverses;;158 273 332;775;;;;;158 274 107
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;01;Formation initiale et continue du baccalauréat à la licence;;45 796 264;2 830 265 150;;;50 000;;2 876 111 414
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;02;Formation initiale et continue de niveau master;;96 053 192;2 241 756 276;;;845 001;;2 338 654 469
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;03;Formation initiale et continue de niveau doctorat;;9 469 042;343 925 024;;;5 397 664;;358 791 730
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;04;Établissements d'enseignement privés;;;;;;73 398 140;;73 398 140
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;05;Bibliothèques et documentation;;38 051 519;405 241 657;;;2 119 129;;445 412 305
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;06;Recherche universitaire en sciences de la vie, biotechnologies et santé;;0;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;07;Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies;;0;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;08;Recherche universitaire en physique, chimie et sciences pour l'ingénieur;;0;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;09;Recherche universitaire en physique nucléaire et des hautes énergies;;0;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;10;Recherche universitaire en sciences de la terre, de l'univers et de l'environnement;;0;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;11;Recherche universitaire en sciences de l'homme et de la société;;0;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;12;Recherche universitaire interdisciplinaire et transversale;;0;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées;;27 579 352;90 190 764;;;481 281;;118 251 397
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;14;Immobilier;;32 024 193;920 282 211;;87 455 602;1 627 450;187 169 230;1 228 558 686
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme;;138 570 766;1 382 104 328;;164 242;21 632 772;;1 542 472 108
06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;17;Recherche;;103 869 566;3 657 658 088;;;566 796;;3 762 094 450
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;01;Pilotage et animation;;;33 602 013;;;89 661 421;13 525 997;136 789 431
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche;;;28 744 521;;;464 231 675;;492 976 196
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;05;Recherches scientifiques et technologiques en sciences de la vie, biotechnologies et santé;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;06;Recherches scientifiques et technologiques en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;07;Recherches scientifiques et technologiques en physique, chimie et sciences pour l'ingénieur;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;08;Recherches scientifiques et technologiques en physique nucléaire et des hautes énergies;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;09;Recherches scientifiques et technologiques en sciences de la terre, de l'univers et de l'environnement;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;10;Recherches scientifiques en sciences de l'homme et de la société;;;0;;;0;;0
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales;;;54 658 839;;;0;;54 658 839
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies;;;146 884 263;;;0;;146 884 263
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche;;;221 362 457;;;76 417 000;;297 779 457
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche;;;685 870 597;;;0;1 571 144;687 441 741
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;15;Recherches scientifiques et technologiques en sciences de la vie et de la santé;;;1 131 264 888;;;102 918 829;;1 234 183 717
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;16;Recherches scientifiques et technologiques en sciences et techniques de l'information;;;1 006 498 657;;;590 640;;1 007 089 297
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;17;Recherches scientifiques et technologiques dans le domaine de l'énergie;;;371 755 290;;;279 169 537;;650 924 827
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;18;Recherches scientifiques et technologiques dans le domaine de l'environnement;;;1 068 825 340;;;37 460 262;;1 106 285 602
06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales;;;406 669 227;;;1 154 485;;407 823 712
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);01;Recherches scientifiques et technologiques sur les ressources, les milieux et leur biodiversité;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);02;Recherches scientifiques et technologiques sur les systèmes de production et de transformation associés;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);03;Recherches scientifiques et technologiques sur les systèmes socio-économiques associés;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);04;Recherches scientifiques et technologiques sur l'alimentation, ses produits et leurs effets sur le bien-être;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);05;Recherches scientifiques et technologiques pour la sécurité alimentaire, sanitaire, environnementale et sur les risques naturels;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);06;Diffusion, valorisation et transfert des connaissances et des technologies;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);07;Grandes infrastructures de recherche;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;187;Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015);08;Moyens généraux et d'appui à la recherche;;;0;;;;;0
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;01;Développement de la technologie spatiale au service de la science;;;71 888 088;;;112 569 855;;184 457 943
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre;;;166 780 365;;;113 403 707;;280 184 072
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;03;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication;;;29 330 340;;;90 055 885;;119 386 225
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;04;Maîtrise de l'accès à l'espace;;;134 574 501;;;325 829 897;;460 404 398
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;05;Maîtrise des technologies orbitales et de l'innovation technologique;;;115 020 941;;;108 400 602;;223 421 543
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;06;Moyens généraux et d'appui à la recherche;;;34 135 855;;;26 683 225;;60 819 080
06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;07;Développement des satellites de météorologie;;;;;;25 628 687;;25 628 687
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;01;Pilotage et mise en oeuvre des politiques éducatives;;422 109 928;6 412;;;0;;422 116 340
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;85 642 136;4 280 490;;33 082;153 989;;90 109 697
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;03;Communication;;11 552 086;5 547 954;;;22 154;;17 122 194
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;04;Expertise juridique;;17 380 345;4 651 963;;;3 268 440;;25 300 748
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;05;Action internationale;;6 897 509;6 612 163;;;1 753 927;;15 263 599
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;06;Politique des ressources humaines;;509 501 126;86 992 756;;0;12 663 889;;609 157 771
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;07;Établissements d'appui de la politique éducative;;;151 125 144;;;;;151 125 144
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;08;Logistique, système d'information, immobilier;;272 967 153;265 870 195;;115 801 168;126 478 459;1 000 000;782 116 975
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;09;Certification;;130 419 359;24 889 965;;0;2 679 095;;157 988 419
06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;10;Transports scolaires;;-7 821;191 436;;;2 676 603;;2 860 218
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;01;Vie scolaire et éducation à la responsabilité;;902 118 136;19 292 871;;;1 331 082 592;;2 252 493 599
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;02;Santé scolaire;;529 647 955;2 157 180;;;2 609 979;;534 415 114
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;03;Inclusion scolaire des élèves en situation de handicap;;307 244 597;16 439 796;;13 550;409 694 832;;733 392 775
06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;04;Action sociale;;174 618 210;1 491 290;;;591 535 669;;767 645 169
